Film,OscarYear,FilmStudio/Producer(s),Award,AwardBinary,YearofRelease,MovieTime,MovieGenre1,MovieGenre2,MovieGenre3,IMDBRating,IMDBVotes,MovieInfo,CriticConsensus,ContentRating,Directors,Authors,Actors,Actors2,Actors3,OriginalReleaseDate,StreamingReleaseDate,ProductionCompany,TomatometerStatus,TomatometerRating,TomatometerCount,AudienceStatus,AudienceRating,AudienceCount,TomatometerTopCriticsCount,TomatometerFreshCriticsCount,TomatometerRottenCriticsCount,FilmID
Ivanhoe,1952,Pandro S. Berman,Nominee,0,1952,106,Adventure,Drama,History,6.8,8627,"Loyal British knight Wilfred of Ivanhoe (Robert Taylor) sets out on a mission to free the kidnapped King of England, Richard the Lionheart (Norman Wooland), in this rousing adventure tale. The brave Ivanhoe must eventually confront the devious Prince John (Guy Rolfe) and the fierce Norman warrior Brian de Bois-Guilbert (George Sanders), while also juggling the affections of the beautiful maidens Rowena (Joan Fontaine) and Rebecca (Elizabeth Taylor).",,G,Richard Thorpe,"Noel Langley, Aeneas MacKenzie",Robert Taylor, Elizabeth Taylor, Joan Fontaine,19206,41611,MGM,Fresh,81,16,Upright,64,5038,3,13,3,0726de1a-97f7-4d02-8ebf-ede53d66faf7
The Greatest Show on Earth,1952,Cecil B. DeMille,Winner,1,1952,152,Drama,Family,Romance,6.6,13797,"""The Greatest Show on Earth"" is a dazzling spectacle of life behind the scenes with Ringling Bros.-Barnum and Bailey Circus, the best three-ring circus in the land. Celebrates the extravagant three-ring circus and depicts the passionate scenes of love and jealousy behind the greatest show on Earth.","The Greatest Show on Earth is melodramatic, short on plot, excessively lengthy and bogged down with clichés, but not without a certain innocent charm.",NR,Cecil B. DeMille,"Fredric M. Frank, Barré Lyndon, Theodore St. John, Frank Cavett",Betty Hutton, Cornel Wilde, Charlton Heston,19045,41796,Paramount Pictures,Rotten,42,31,Spilled,54,6192,8,13,18,cc4a95ef-5ae4-4c0a-8ccb-086764ef8c36
The Quiet Man,1952,John Ford and Merian C. Cooper,Nominee,0,1952,129,Comedy,Drama,Romance,7.8,36499,"After accidentally killing an opponent in the ring, boxer Sean Thornton (John Wayne) leaves America and returns to his native Ireland, hoping buy his family's homestead and live in peace. In doing so, he runs afoul of Will Danaher (Victor McLaglen), who long coveted the property. Spitefully, Will objects when his fiery sister, Mary Kate (Maureen O'Hara), begins a romance with Sean, and refuses to hand over her dowry. Mary Kate refuses to consummate the marriage until Sean retrieves the money.","Director John Ford and star John Wayne depart the Western for the Irish countryside, and the result is a beautifully photographed, often comedic romance.",G,John Ford,"Frank S. Nugent, Richard Llewellyn",John Wayne, Maureen O'Hara, Barry Fitzgerald,19220,42564,Republic Pictures,Certified-Fresh,91,45,Upright,91,30417,8,41,4,6e88383e-fac9-4946-a4fc-f4d0a9647c07
High Noon,1952,Stanley Kramer,Nominee,0,1952,85,Drama,Thriller,Western,8,100501,"Former marshal Will Kane (Gary Cooper) is preparing to leave the small town of Hadleyville, New Mexico, with his new bride, Amy (Grace Kelly), when he learns that local criminal Frank Miller has been set free and is coming to seek revenge on the marshal who turned him in. When he starts recruiting deputies to fight Miller, Kane is discouraged to find that the people of Hadleyville turn cowardly when the time comes for a showdown, and he must face Miller and his cronies alone.","A classic of the Western genre that broke with many of the traditions at the time, High Noon endures -- in no small part thanks to Gary Cooper's defiant, Oscar-winning performance.",PG,Fred Zinnemann,Carl Foreman,Gary Cooper, Grace Kelly, Thomas Mitchell,19199,42592,United Artists,Certified-Fresh,97,58,Upright,89,25442,10,56,2,839c34d7-1b03-447d-b883-d03e35bd12c5
The Robe,1953,Frank Ross,Nominee,0,1953,135,Drama,History,NG,6.8,9876,"In this biblical epic, a drunk and disillusioned Roman, Marcellus Gallio (Richard Burton), wins Jesus' robe in a dice game after the crucifixion. Marcellus has never been a man of faith like his slave, Demetrius (Victor Mature), but when Demetrius escapes with the robe, Marcellus experiences disturbing visions and feels guilty for his actions. Convinced that destroying the robe will cure him, Marcellus sets out to find Demetrius -- and discovers his Christian faith along the way.",,G,Henry Koster,"Philip Dunne, Albert Maltz, Gina Kaus",Richard Burton, Jean Simmons, Victor Mature,19618,42333,20th Century Fox,Rotten,33,18,Upright,69,6018,4,6,12,2ee37736-fd84-4b57-a9c9-df11a9e70329
Julius Caesar,1953,John Houseman,Nominee,0,1953,120,Biography,Drama,History,7.3,11012,"Brutus (James Mason) is convinced by a scheming band of Roman senators, led by Caius Cassius (John Gielgud), that his dear friend Julius Caesar (Louis Calhern) intends to dissolve the republic and install himself as monarch, and he joins a conspiracy to assassinate him. Brutus stirringly defends his actions, but when Mark Antony (Marlon Brando) responds with a speech that plays upon the crowd's love for their fallen leader, a battle between the two factions is assured.","A sterling cast gives Shakespeare's tale of betrayal and reprisals body and fine form, with Marlon Brando displaying a galvanizing command over the Bard's language.",NR,Joseph L. Mankiewicz,Joseph L. Mankiewicz,Marlon Brando, James Mason, John Gielgud,19513,39448,MGM,Fresh,95,22,Upright,81,5248,6,21,1,c809744c-13bb-4ded-b500-91b644ee825f
Shane,1953,George Stevens,Nominee,0,1953,118,Drama,Western,NG,7.6,38752,"Enigmatic gunslinger Shane (Alan Ladd) rides into a small Wyoming town with hopes of quietly settling down as a farmhand. Taking a job on homesteader Joe Starrett's (Van Heflin) farm, Shane is drawn into a battle between the townsfolk and ruthless cattle baron Rufus Ryker (Emile Meyer). Shane's growing attraction to Starrett's wife, Marian (Jean Arthur), and his fondness for their son Joey (Brandon de Wilde), who idolizes Shane, force Shane to realize that he must thwart Ryker's plan.",,G,George Stevens,"A.B. Guthrie Jr., Jack Sher",Alan Ladd, Jean Arthur, Van Heflin,19473,42592,Paramount Pictures,Fresh,97,36,Upright,81,15548,5,35,1,32b9e439-a62e-4fbc-b103-dd8cbbd34f5e
Roman Holiday,1953,William Wyler,Nominee,0,1953,118,Comedy,Romance,NG,8,132970,"Overwhelmed by her suffocating schedule, touring European princess Ann (Audrey Hepburn) takes off for a night while in Rome. When a sedative she took from her doctor kicks in, however, she falls asleep on a park bench and is found by an American reporter, Joe Bradley (Gregory Peck),who takes her back to his apartment for safety. At work the next morning, Joe finds out Ann's regal identity and bets his editor he can get exclusive interview with her, but romance soon gets in the way.","With Audrey Hepburn luminous in her American debut, Roman Holiday is as funny as it is beautiful, and sets the standard for the modern romantic comedy.",NR,William Wyler,"John Dighton, Ian McLellan Hunter, Dalton Trumbo, William Wyler",Audrey Hepburn, Gregory Peck, Eddie Albert,19604,41796,Paramount Pictures,Certified-Fresh,97,59,Upright,93,63470,11,57,2,b732f88f-79d4-43c3-b355-02f7898d908f
From Here to Eternity,1953,Buddy Adler,Winner,1,1953,118,Drama,Romance,War,7.6,45045,"At an Army barracks in Hawaii in the days preceding the attack on Pearl Harbor, lone-wolf soldier and boxing champion ""Prew"" Prewitt (Montgomery Clift) refuses to box, preferring to play the bugle instead. Hard-hearted Capt. Holmes (Philip Ober) subjects Prew to a grueling series of punishments while, unknown to Holmes, the gruff but fair Sgt. Warden (Burt Lancaster) engages in a clandestine affair with the captain's mistreated wife (Deborah Kerr).","It has perhaps aged poorly, but this languidly paced WWII romance remains an iconic, well-acted film, featuring particularly strong performances from Burt Lancaster and Montgomery Clift.",G,Fred Zinnemann,Daniel Taradash,Burt Lancaster, Montgomery Clift, Deborah Kerr,19576,41015,NCM Fathom,Certified-Fresh,92,61,Upright,84,14883,16,56,5,4053e1d8-c821-4247-a020-baca7eaef18d
The Country Girl,1954,William Perlberg,Nominee,0,1954,104,Drama,Music,NG,7.3,5766,"This adaptation of Clifford Odets' stage drama features Bing Crosby as the hard-drinking Frank Elgin, a once-popular Broadway star whose glory days have passed. When director Bernie Dodd (William Holden) gives Elgin a role in his new musical, he must also deal with the actor's sour and ever-present wife, Georgie (Grace Kelly), who Dodd believes is the cause of her husband's failure. However, as Dodd spends more time around Georgie, the truth about her husband becomes clear.",,NR,George Seaton,George Seaton,Grace Kelly, Bing Crosby, William Holden,20073,42585,Paramount Pictures,Fresh,86,7,Upright,77,3106,0,6,1,27b1c21b-9ec8-4270-84a1-ff91400e2b2e
Three Coins in the Fountain,1954,Sol C. Siegel,Nominee,0,1954,102,Drama,Romance,NG,6.3,3276,"Three hopeful American secretaries visiting Italy -- newcomer Maria (Maggie McNamara), romance-seeking Anita (Jean Peters) and the more mature Frances (Dorothy McGuire) -- fling their coins into Rome's Trevi Fountain, each making a wish. Soon, Maria is pursued by a dashing prince (Louis Jourdan), Anita finds herself involved with a forbidden coworker (Rossano Brazzi), and Frances receives a surprising proposal from her boss (Clifton Webb). All three women vow to one day return to Rome.",,NR,Jean Negulesco,John Patrick,Dorothy McGuire, Clifton Webb, Jean Peters,19877,42414,20th Century Fox,Fresh,60,10,Spilled,43,2021,3,6,4,2ebbefba-fb33-47ed-97bb-2b22c85606db
The Caine Mutiny,1954,Stanley Kramer,Nominee,0,1954,124,Drama,War,NG,7.7,26649,"During World War II, a dilapidated vessel, the Caine, gets a new ensign, Willis Keith (Robert Francis), and a new captain, Commander Queeg (Humphrey Bogart). The crew sees Queeg's unconventional behavior as irrational, and communications officer Thomas Keefer (Fred MacMurray) spreads suspicion about his suitability as captain. When a dire situation during a storm forces the executive officer (Van Johnson) to relieve Queeg of his duties, he and Ensign Keith are tried for mutiny.","Humphrey Bogart is superb as a domineering captain with brittle composure in The Caine Mutiny, an inquisitive courtroom drama teeming with memorable performances.",PG,Edward Dmytryk,"Stanley Roberts, Michael Blankfort",Humphrey Bogart, Fred MacMurray, Van Johnson,19899,41015,Sony Pictures Home Entertainment,Fresh,92,25,Upright,87,7557,4,23,2,6eae2bc6-40f4-44f8-85c6-a11f363726cf
Seven Brides for Seven Brothers,1954,Jack Cummings,Nominee,0,1954,102,Comedy,Drama,Musical,7.4,23448,"During the 1850s, Milly (Jane Powell), a pretty young cook, marries Adam (Howard Keel), a grizzled woodsman, after a brief courtship. When the two return to Adam's farm, Milly is shocked to meet his six ill-mannered brothers, all of whom live in his cabin. She promptly begins teaching the brothers proper behavior, and most importantly, how to court a woman. But after the brothers kidnap six local girls during a town barn-raising, a group of indignant villagers tries to track them down.","Buoyed by crowd-pleasing tunes and charming performances, Seven Brides for Seven Brothers makes a successful transition from Broadway to screen that's sure to please the whole family.",G,Stanley Donen,"Albert Hackett, Frances Goodrich, Dorothy Kingsley",Howard Keel, Jane Powell, Jeff Richards,19927,42132,MGM,Fresh,88,26,Upright,87,54305,5,23,3,96a4a3d6-e8dd-40cb-a54c-b5dbcbfc5e32
On the Waterfront,1954,Sam Spiegel,Winner,1,1954,108,Crime,Drama,Thriller,8.1,147893,"Dockworker Terry Malloy (Marlon Brando) had been an up-and-coming boxer until powerful local mob boss Johnny Friendly (Lee J. Cobb) persuaded him to throw a fight. When a longshoreman is murdered before he can testify about Friendly's control of the Hoboken waterfront, Terry teams up with the dead man's sister Edie (Eva Marie Saint) and the streetwise priest Father Barry (Karl Malden) to testify himself, against the advice of Friendly's lawyer, Terry's older brother Charley (Rod Steiger).","With his electrifying performance in Elia Kazan's thought-provoking, expertly constructed melodrama, Marlon Brando redefined the possibilities of acting for film and helped permanently alter the cinematic landscape.",NR,Elia Kazan,Budd Schulberg,Marlon Brando, Eva Marie Saint, Karl Malden,19933,41653,Sony Pictures Classics,Certified-Fresh,99,72,Upright,95,52205,14,71,1,6e80353a-6ace-497d-9c6c-1756457a6dc8
The Rose Tattoo,1955,Hal B. Wallis,Nominee,0,1955,117,Comedy,Drama,Romance,7,3763,"Based on a play by Tennessee Williams, this classic drama centers on Serafina (Anna Magnani), a widowed Sicilian woman living in the American South who is left devastated by the death of her husband. Grief turns her into a recluse, however she is drawn back into the world when she learns of her late husband's infidelities. Meanwhile, the arrival of a new lodger, handsome truck driver Alvaro (Burt Lancaster), offers hope of a new love in her life.",,NR,Daniel Mann,"Tennessee Williams, Hal Kanter",Anna Magnani, Burt Lancaster, Marisa Pavan,20435,42735,Paramount Pictures,Fresh,67,6,Upright,74,1108,0,4,2,a74c209a-4f5f-4f90-aaec-6c77b62b3ed3
Picnic,1955,Fred Kohlmar,Nominee,0,1955,115,Drama,Romance,NG,7.1,8425,"Charming Hal Carter (William Holden) turned to wandering after a failed acting career left him loose in the wind. Interested in reuniting with an old college friend, Alan Benson (Cliff Robertson), Carter bums a train ride to a tranquil Kansas town. Alan greets him warmly, and together they join the community in a picnic celebration of Labor Day. However, his welcome quickly sours when sparks ignite between him and Alan's girlfriend, Madge Owens (Kim Novak).",,PG,Joshua Logan,Daniel Taradash,William Holden, Kim Novak, Rosalind Russell,20394,41015,Sony Pictures Home Entertainment,Rotten,50,8,Spilled,54,2519,1,4,4,d9576b2a-0b16-4c95-b574-4ea6cd782260
Love Is a Many-Splendored Thing,1955,Buddy Adler,Nominee,0,1955,102,Biography,Drama,Romance,6.5,4688,,,NR,Henry King,,Jennifer Jones, William Holden, Torin Thatcher,,,20th Century Fox,,53,15,,56,2500,5,8,7,2bd69ac3-6b2e-4132-b1b0-0f073a1c75e9
Mister Roberts,1955,Leland Hayward,Nominee,0,1955,123,Comedy,Drama,War,7.7,16057,"Bittersweet film about a supply officer aboard a decrepit cargo ship during World War II who yearns for a transfer into a combat zone but is thwarted by the ship's captain, a petty tyrant. Forced to endure various humiliations in exchange for privileges, the crew engage in minor acts of resistance, and look to Mr. Roberts for inspiration and moral support. Based on the hit Broadway play.",,NR,John Ford,"Frank S. Nugent, Joshua Logan",Henry Fonda, James Cagney, Jack Lemmon,20300,41015,Warner Home Video,Fresh,92,25,Upright,84,6728,4,23,2,eab1a500-de95-4cf8-a44e-314760de571d
Marty,1955,Harold Hecht,Winner,1,1955,90,Drama,Romance,NG,7.7,22916,"This acclaimed romantic drama follows the life of Marty Piletti (Ernest Borgnine), a stout bachelor butcher who lives with his mother (Esther Minciotti) in the Bronx. Always unlucky in love, Marty reluctantly goes out to a ballroom one night and meets a nice teacher named Clara (Betsy Blair). Though Marty and Clara hit it off, his relatives discourage him from pursuing the relationship, and he must decide between his family's approval or a shot at finding romance.",Scriptwriter Paddy Chayefsky's solid dialogue is bolstered by strong performances from Ernest Borgnine and Betsy Blair in this appealingly low-key character study.,NR,Delbert Mann,Paddy Chayefsky,Ernest Borgnine, Betsy Blair, Joe Mantell,20190,42754,MGM,Certified-Fresh,98,42,Upright,87,6757,8,41,1,0e335b5a-ed13-4c51-8028-d489d57a1e75
Friendly Persuasion,1956,William Wyler,Nominee,0,1956,137,Drama,Romance,War,7.4,6784,"The patriarch of a peace-loving Quaker family, Jess Birdwell (Gary Cooper), begins to question his pacifist values when the Civil War moves toward his close-knit Indiana community. Meanwhile, Jess's daughter, Mattie, is in love with a soldier, and her brother, Josh (Anthony Perkins), contemplates picking up arms to defend his home lest he be considered a coward. As Confederate forces draw nearer, the Birdwells must make some difficult, life-altering decisions.",,NR,William Wyler,Michael Wilson,Gary Cooper, Dorothy McGuire, Anthony Perkins,20455,39814,20th Century Fox,Fresh,88,8,Upright,81,1251,0,7,1,bde43e69-9c9b-4b7b-a438-f5aa9dcb8808
